team,confederation,fifa_rank,rank_change,elo,form_score,r32_prob,r16_prob,qf_prob,sf_prob,final_prob,winner_prob,r32_count,r16_count,qf_count,sf_count,final_count,winner_count
Argentina,CONMEBOL,3,-1,2179.651450788336,37.0,0.986,0.725,0.618,0.5,0.383,0.268,986,725,618,500,383,268
Spain,UEFA,2,8,2229.7567794417023,59.0,0.99,0.746,0.618,0.495,0.382,0.235,990,746,618,495,382,235
England,UEFA,4,1,2094.7230093084663,54.0,0.954,0.634,0.382,0.245,0.137,0.07,954,634,382,245,137,70
France,UEFA,1,2,2124.778622286288,46.0,0.943,0.699,0.507,0.298,0.126,0.067,943,699,507,298,126,67
Colombia,CONMEBOL,13,4,2064.025446972292,20.0,0.924,0.63,0.427,0.233,0.128,0.065,924,630,427,233,128,65
Brazil,CONMEBOL,6,-5,2050.192144690647,22.0,0.961,0.614,0.393,0.22,0.107,0.046,961,614,393,220,107,46
Ecuador,CONMEBOL,23,18,2015.3643384459688,9.0,0.941,0.644,0.332,0.181,0.073,0.035,941,644,332,181,73,35
Mexico,CONCACAF,15,0,1959.693816879822,23.0,0.985,0.704,0.371,0.192,0.072,0.032,985,704,371,192,72,32
Japan,AFC,18,2,1963.035668240791,61.0,0.925,0.52,0.335,0.173,0.062,0.026,925,520,335,173,62,26
Portugal,UEFA,5,4,2023.4700911908965,56.0,0.817,0.446,0.215,0.11,0.051,0.02,817,446,215,110,51,20
Uruguay,CONMEBOL,17,-1,1976.0116668148607,23.0,0.916,0.375,0.229,0.116,0.057,0.019,916,375,229,116,57,19
Morocco,CAF,8,3,1972.941440105272,63.0,0.858,0.477,0.238,0.111,0.047,0.014,858,477,238,111,47,14
Canada,CONCACAF,30,23,1896.2889432440493,14.0,0.98,0.614,0.267,0.088,0.037,0.013,980,614,267,88,37,13
Iran,AFC,21,3,1872.963675378442,35.0,0.824,0.45,0.197,0.061,0.028,0.012,824,450,197,61,28,12
Netherlands,UEFA,7,-1,2019.419662607244,40.0,0.884,0.459,0.261,0.124,0.039,0.011,884,459,261,124,39,11
South Korea,AFC,25,0,1877.97345245688,32.0,0.862,0.498,0.187,0.082,0.034,0.009,862,498,187,82,34,9
Germany,UEFA,10,4,1987.7425040916585,35.0,0.912,0.476,0.211,0.078,0.017,0.008,912,476,211,78,17,8
United States,CONCACAF,16,-3,1832.9494089052896,37.0,0.807,0.441,0.176,0.047,0.015,0.007,807,441,176,47,15,7
Australia,AFC,27,0,1883.4191757238343,45.0,0.635,0.369,0.175,0.067,0.024,0.006,635,369,175,67,24,6
Croatia,UEFA,11,-4,1994.7570903147828,32.0,0.889,0.457,0.196,0.08,0.025,0.006,889,457,196,80,25,6
Senegal,CAF,14,5,1926.791648261997,43.0,0.757,0.379,0.157,0.06,0.026,0.006,757,379,157,60,26,6
Norway,UEFA,31,12,1964.612716200395,40.0,0.709,0.386,0.172,0.065,0.014,0.005,709,386,172,65,14,5
Belgium,UEFA,9,-5,1923.023705469272,36.0,0.72,0.371,0.126,0.039,0.016,0.005,720,371,126,39,16,5
Paraguay,CONMEBOL,40,6,1919.3286744919253,-13.0,0.712,0.427,0.186,0.055,0.025,0.004,712,427,186,55,25,4
Turkey,UEFA,22,22,1936.92107812798,21.0,0.604,0.314,0.122,0.035,0.016,0.003,604,314,122,35,16,3
Switzerland,UEFA,19,-7,1942.8303598478783,14.0,0.926,0.498,0.166,0.056,0.016,0.003,926,498,166,56,16,3
Austria,UEFA,24,10,1872.8696908624904,32.0,0.56,0.158,0.069,0.023,0.01,0.002,560,158,69,23,10,2
Haiti,CONCACAF,83,4,1692.2823612432412,42.0,0.318,0.055,0.01,0.003,0.001,0.001,318,55,10,3,1,1
Ivory Coast,CAF,34,13,1784.240134087426,37.0,0.538,0.173,0.048,0.009,0.001,0.001,538,173,48,9,1,1
New Zealand,OFC,85,20,1766.959829703607,52.0,0.713,0.317,0.086,0.016,0.003,0.001,713,317,86,16,3,1
